Left x,Right x,Pixel diff,output
-47.24609375,578.96484375,0.0015969059946353938,1.5
-47.24609375,577.36328125,0.0016010006253908693,1.5
-367.158203125,577.36328125,0.0010587371664305875,1.5
37.63671875,-4.6044921875,-0.02367356374985551,1.5
516.904296875,494.08203125,-0.04381685922122379,1.5
442.03125,430.01953125,-0.0832520325203252,2.0
103.30078125,87.28515625,-0.0624390243902439,2.0
-303.19580078125,575.76171875,0.0011377114112787864,2.0
-296.2890625,582.16796875,0.001138359606020855,2.5
-7.0068359375,-8.0078125,-0.9990243902439024,2.5
373.1640625,378.369140625,0.19212007504690432,2.5
738.220703125,747.830078125,0.1040650406504065,2.5
640.625,657.44140625,0.059465737514518,3.0
353.14453125,361.15234375,0.1248780487804878,3.0
48.84765625,57.65625,0.11352549889135255,3.0
-98.896484375,579.765625,0.0014734873012446938,3.0
-591.326904296875,582.96875,0.0008515743001695456,3.0
-523.310546875,578.1640625,0.0009078738551834809,3.5
-325.91796875,578.96484375,0.0011051154759335203,3.5
-70.068359375,-81.279296875,-0.089198606271777,3.5
188.984375,196.19140625,0.13875338753387534,3.5
470.05859375,478.8671875,0.11352549889135255,3.5
436.42578125,470.05859375,0.029732868757259,4.0
304.296875,344.3359375,0.024975609756097562,4.0
22.421875,107.3046875,0.011780947998159227,4.0
-230.224609375,579.765625,0.0012345827857685398,4.0
-402.79296875,576.5625,0.0010210797120236124,4.0
